Descricao;,;Descricao2;,;Preco;,;Estoque Dispon­vel;,;Codigo;,;Categoria;,;Estoque Min.;,;NCM
ABSORVENTE P…S PARTO - PACOTE COM 20 UNIDADES;,;Absorvente P…s Parto - Pacote Com 20 Unidades;,;R$13.60;,;0;,;1;,;Hospitalares;,;20;,;48184090   ABSORVENTES E OUTROS ARTIGOS HIGIENICOS,DE PAPEL
A?UCAR CRISTALIZADO - EMBALAGEM COM 01 KG;,;A?Ucar Cristalizado - Embalagem Com 01 Kg;,;R$3.27;,;78;,;2;,;Outros;,;50;,;17022000   ACUCAR E XAROPE,DE BORDO (ACER)
AGUA MINERAL DE 200 ml - MARCA : DIAS D' AVILA;,;Agua Mineral De 200 Ml - Marca : Dias D' Avila;,;R$0.56;,;0;,;464;,;Outros;,;0;,;22011000   AGUA MINERAL/GASEIFN/ADICIONACUCAR,N/AROMATIZADA,E
