Descricao;Descricao2;Preco;HabEst;Estoque Dispon­vel;Codigo;Categoria;Estoque Min.;NCM
ABSORVENTE P…S PARTO - PACOTE COM 20 UNIDADES;Absorvente P…s Parto - Pacote Com 20 Unidades;R$13.60;1;2;1;Hospitalares;20;48184090
A?UCAR CRISTALIZADO - EMBALAGEM COM 01 KG;A?Ucar Cristalizado - Embalagem Com 01 Kg;R$3.27;1;78;2;Outros;50;17022000
AGUA MINERAL DE 200 ml - MARCA : DIAS D' AVILA;Agua Mineral De 200 Ml - Marca : Dias D' Avila;R$0.56;1;2;464;Outros;0;22011000
